Latitudine,Longitudine
39.4305577,-0.3351722
39.4306546,-0.3351748
39.4307444,-0.3351812
39.4308584,-0.3351812
39.430964,-0.3351812
39.431107,-0.3351946
39.4312216,-0.3351973
39.4313521,-0.3351919
39.4315075,-0.335208
39.4316442,-0.3351785
39.431783,-0.335149
39.4318783,-0.3350256
39.4319881,-0.3349264
39.4320813,-0.3348406
39.4321518,-0.3347601
39.4322222,-0.3346716
39.4322968,-0.3345536
39.4323589,-0.3344409
39.4324128,-0.3343309
39.4324667,-0.334221
39.4325081,-0.3340949
39.4325371,-0.3339581
39.4325516,-0.3338052
39.4325558,-0.3336656
39.4325558,-0.3335315
39.4325289,-0.3333759
39.432504,-0.3332445
39.4324626,-0.3331211
39.4324212,-0.3330165
39.4323797,-0.3329146
39.4323294,-0.3328038
39.4322941,-0.3327233
39.4322424,-0.3326402
39.4322051,-0.3325409
39.4321388,-0.3324336
39.4320953,-0.3323505
39.4320537,-0.3322748
39.4320101,-0.3322134
39.4319936,-0.3321598
39.4319397,-0.3320766
39.4318858,-0.3319961
39.4318299,-0.3319049
39.4317823,-0.3318164
39.4317408,-0.331736
39.4316994,-0.3316555
39.4316517,-0.3315777
39.4315979,-0.3314946
39.4315585,-0.3314141
39.4314984,-0.331347
39.4314694,-0.3312424
39.4314176,-0.3311486
39.4313783,-0.331052
39.4313161,-0.3309581
39.4312952,-0.3308693
39.4312579,-0.330754
39.4312144,-0.3306199
39.4311668,-0.3305287
39.4311295,-0.3304187
39.431086,-0.3303114
39.4310425,-0.3302176
39.4309845,-0.3301103
39.4309265,-0.3299654
39.4308645,-0.329866
39.4308065,-0.3297828
39.4307422,-0.3297158
39.430678,-0.3296514
39.4306117,-0.3295977
39.4305413,-0.3295468
39.4304854,-0.3294958
39.4304149,-0.3294744
39.4303383,-0.3294234
39.4302562,-0.3293757
39.4301816,-0.3293435
39.4300884,-0.3292952
39.4300013,-0.3292336
39.4299268,-0.3291987
39.4298087,-0.329145
39.4297092,-0.329078
39.4296305,-0.3290485
39.4295518,-0.3290136
39.4294606,-0.3289653
39.4293902,-0.3289278
39.4293322,-0.3288902
39.4292452,-0.3288393
39.4291685,-0.3288044
39.4290753,-0.3287722
39.4289883,-0.3287186
39.4287686,-0.3286113
39.428864,-0.3286622
39.428692,-0.3285603
39.4286093,-0.3285232
39.4285223,-0.3284696
39.4284498,-0.328432
39.4283648,-0.3283998
39.4282778,-0.3283516
39.4281825,-0.3282926
39.4280955,-0.3282255
39.4280006,-0.3281682
39.4279135,-0.3281247
39.4278037,-0.3280577
39.4277229,-0.3279826
39.4276524,-0.3278833
39.4275779,-0.3277761
39.4275281,-0.3276714
39.4274618,-0.3275132
39.42741,-0.3273737
39.4273727,-0.32724
39.4273271,-0.3271113
39.4272712,-0.3269638
39.4272297,-0.326835
39.4271966,-0.3267063
39.4271489,-0.3265775
39.4271054,-0.3264407
39.4270764,-0.32632
39.4270308,-0.3261913
39.4269894,-0.3260706
39.4269314,-0.3259257
39.4268899,-0.3257541
39.4268378,-0.3255911
39.4267798,-0.325414
39.4267259,-0.3252477
39.4266721,-0.3250707
39.426614,-0.3248937
39.426585,-0.3247703
39.4265353,-0.3246147
39.4264773,-0.3244324
39.4264193,-0.3242768
39.4263323,-0.3240461
39.426266,-0.3238262
39.4262121,-0.3236331
39.4261251,-0.3234078
39.4260712,-0.32322
39.4259966,-0.3230376
39.4259303,-0.3228338
39.4258599,-0.322587
39.4257977,-0.3223939
39.425718,-0.3222068
39.4319135,-0.3350914
39.4256599,-0.3220244
39.4255978,-0.3218313
39.4320201,-0.3350163
39.4255356,-0.3216275
39.4254403,-0.3214182
39.4321289,-0.3349171
39.4253865,-0.3211661
39.425316,-0.3209408
39.4322232,-0.3348433
39.4252124,-0.3207101
39.4251337,-0.3204687
39.4323071,-0.3347481
39.4250632,-0.3201898
39.4323682,-0.3346596
39.4249638,-0.3199377
39.4324397,-0.3345603
39.4249016,-0.319707
39.432507,-0.3344638
39.4248302,-0.3194978
39.4247608,-0.3192886
39.4325722,-0.3343618
39.4326375,-0.3342814
39.4326924,-0.3342063
39.4327442,-0.3341312
39.4328063,-0.3340507
39.4328644,-0.3339769
39.4329281,-0.3338931
39.4330068,-0.3338127
39.4330824,-0.3337376
39.4331642,-0.3336812
39.4246978,-0.31904
39.4332492,-0.3336222
39.424646,-0.318879
39.4333382,-0.3335807
39.4245797,-0.3186779
39.4245299,-0.3185143
39.4244864,-0.3183694
39.4244325,-0.3182299
39.424387,-0.3180958
39.424358,-0.3179778
39.4243145,-0.3178544
39.424273,-0.3177176
39.4242254,-0.3175889
39.4241901,-0.3174575
39.4241342,-0.3172965
39.4240762,-0.3171141
39.4240244,-0.3169264
39.4239719,-0.3167593
39.4239097,-0.316593
39.4238517,-0.316424
39.4238165,-0.3162711
